#{"t_start": 1775412610.25416, "env_id": "None"}
r,l,t,raw_score,sequence_length
106.163895,32,8462.381461,1.0616389387904757,32
113.2516,32,8496.300429,1.1325160579037115,32
119.93548,8,8530.785047,1.1993548180157765,8
67.848114,16,8565.955155,0.6784811218959246,16
119.91616,8,8601.360076,1.1991616391423532,8
82.31262,16,8637.228576,0.8231262329847182,16
73.1173,16,8673.014203,0.731173052317264,16
94.71395,16,8708.545022,0.9471395350754267,16
119.23858,4,8743.531359,1.1923857881324291,4
112.78914,16,8778.627667,1.1278913623163316,16
94.611015,32,8813.66005,0.9461101767819587,32
75.2269,32,8848.839787,0.7522689604712237,32
119.956154,4,8883.281707,1.1995615006240645,4
105.70458,16,8918.924409,1.0570458153428748,16
100.68129,16,8953.956662,1.0068128612154708,16
0.0,8,8954.627795,0.0,8
0.0,16,8954.668553,0.0,16
109.021126,16,8988.940851,1.090211221022083,16
63.33619,32,9023.153745,0.6333619070603167,32
118.5453,16,9056.514084,1.1854530219334027,16
0.0,8,9056.550694,0.0,8
95.70492,4,9091.119798,0.9570491820898714,4
67.274895,32,9126.009835,0.672748979336196,32
102.50353,32,9161.303968,1.02503531703454,32
46.18613,32,9197.471915,0.46186128860756304,32
96.621704,32,9233.027357,0.9662170220628907,32
80.16716,32,9267.394251,0.8016716055896937,32
117.6299,8,9301.076546,1.1762989627945417,8
97.54847,32,9335.025071,0.9754846926063175,32
104.95243,16,9371.186793,1.0495243361523643,16
43.810986,4,9406.072768,0.43810984151582316,4
89.017715,16,9442.322599,0.890177179473251,16
119.01099,8,9477.538254,1.1901098854386742,8
0.0,8,9477.580848,0.0,8
89.76998,4,9511.923393,0.8976998480879718,4
0.0,8,9511.9577,0.0,8
55.78721,8,9545.437171,0.5578720736000737,8
95.72142,32,9581.042295,0.9572142220412386,32
0.0,4,9581.058446,0.0,4
106.74684,16,9615.73466,1.0674684394951703,16
113.954094,4,9649.422045,1.1395409299407084,4
102.69014,4,9684.43943,1.0269013750065588,4
103.90792,16,9719.356931,1.0390791754127733,16
88.14576,16,9752.438014,0.881457633404619,16
80.55706,32,9787.406585,0.8055706283250235,32
78.49246,16,9821.70228,0.7849246428522567,16
12.789298,32,9857.525493,0.12789297844425676,32
78.63828,16,9893.118181,0.7863828438137197,16
93.55581,8,9928.940325,0.9355580536711562,8
16.850227,32,9964.174221,0.1685022821953862,32
119.59604,16,9997.931974,1.1959603562885717,16
0.0,4,9997.947331,0.0,4
106.97123,32,10033.888963,1.0697122714647387,32
82.55877,32,10070.016738,0.8255876923905454,32
109.45593,32,10104.889769,1.0945592934769746,32
119.966446,4,10140.49509,1.1996644797641707,4
93.69969,8,10174.936471,0.9369969168995892,8
60.196934,16,10208.879372,0.601969341728837,16
35.23441,4,10244.280064,0.3523440898678054,4
119.864716,8,10280.370328,1.1986471406540473,8
109.98277,16,10313.584061,1.0998277482719203,16
75.166115,8,10348.860395,0.75166113534726,8
35.113132,4,10385.097872,0.3511313322199122,4
84.55399,16,10421.18491,0.8455399659720333,16
110.27524,4,10455.431104,1.10275235791551,4
111.51652,32,10490.026975,1.115165185493937,32
91.26246,32,10525.612295,0.9126245600692635,32
82.40904,16,10561.142699,0.8240904118076766,16
96.58951,16,10595.70092,0.9658950914458926,16
113.52662,4,10629.678343,1.1352661842132983,4
53.759827,16,10664.826942,0.5375982761043138,16
59.326157,8,10700.26298,0.5932615832078202,8
0.0,16,10736.166124,0.0,16
117.76111,8,10769.706335,1.1776110526389363,8
86.61109,16,10805.935529,0.8661109457435578,16
89.22494,32,10840.638461,0.8922493594617165,32
85.668625,8,10876.861019,0.8566862733039822,8
114.395744,16,10911.571084,1.1439574136849966,16
119.69072,16,10945.812445,1.1969072144115187,16
108.3637,16,10979.718027,1.0836369827209287,16
119.99439,16,11015.253824,1.1999439466551185,16
118.1841,8,11050.6356,1.1818409615309349,8
71.21889,32,11086.53066,0.7121888465767392,32
74.69643,4,11121.988047,0.746964261314902,4
99.41903,16,11157.899168,0.9941902591915465,16
111.899124,8,11192.78116,1.1189912284759245,8
0.0,8,11228.487256,0.0,8
25.280033,4,11265.270021,0.2528003243912841,4
118.95416,16,11300.708719,1.1895416321481769,16
95.65221,32,11336.79235,0.9565220765590557,32
57.177467,32,11371.465151,0.5717746573290095,32
